Produktname,Beschreibung,Verkäufer-ID,Mindestgebot (€)
Gartenstuhl,Komfortabler Gartenstuhl für draußen.,cacar2,7
Gartentisch,Großer Gartentisch für Familienfeiern.,kelali,19
Sonnenschirm,Sonnenschirm für Schatten im Sommer.,mhasan5,16
Liegestuhl,Bequemer Liegestuhl zum Entspannen.,nasemota,15
Hängematte,Robuste Hängematte für den Garten.,tdemuth,19
Gartenwerkzeug,Praktisches Gartenwerkzeug-Set.,sdriouic,3
Schraubendreher,Verschiedene Schraubendreher für alle Zwecke.,jwendt3,18
Bohrmaschine,Leistungsstarke Bohrmaschine für Heimwerker.,kammar,6
Akkuschrauber,Kompakter Akkuschrauber für schnelle Arbeiten.,thorocho,4
Hobelmaschine,Effiziente Hobelmaschine für präzise Arbeiten.,fmecklen,6
Schleifmaschine,Leistungsstarke Schleifmaschine.,emuth,14
Kettensäge,Kraftvolle Kettensäge für die Holzarbeit.,mbidler,8
Laubsauger,Effizienter Laubsauger für den Herbst.,ljusseit,12
Laubbläser,Kraftvoller Laubbläser für Ihren Garten.,jschulza,1
Heckenschere,Elektrische Heckenschere für saubere Schnitte.,dsuess1,19
Rasentrimmer,Praktischer Rasentrimmer für saubere Kanten.,nbetker,17
Hochdruckreiniger,Hochdruckreiniger für verschiedenste Reinigungsarbeiten.,acescott,3
Fahrrad,Robustes Fahrrad für Alltag und Freizeit.,jfoerst7,2
Fahrradhelm,Sicherer Fahrradhelm für Ihre Sicherheit.,nmorczin,3
Fahrradschloss,Starkes Fahrradschloss zum Schutz Ihres Rads.,yhani,14
Fahrradpumpe,Effiziente Fahrradpumpe für unterwegs.,mkaestn1,11
Skateboard,Cooles Skateboard für Tricks und Fahrten.,tschulle,1
Inlineskates,Bequeme Inlineskates für sportliche Aktivitäten.,svomstei,1
Rollschuhe,Klassische Rollschuhe für Spaß und Bewegung.,ddick2,14
Tretroller,Praktischer Tretroller für Kinder und Erwachsene.,fgalgano,8
Kanu,Stabiles Kanu für Flussfahrten.,fhenkenj,7
Kajak,Leichtes Kajak für Sport und Freizeit.,mlauria,5
Schwimmweste,Sichere Schwimmweste für Wassersport.,mgueler2,11
Smart Türschloss,"Dieses intelligente Türschloss bietet Ihnen eine sichere und bequeme Möglichkeit, Ihre Tür zu öffnen.",hihor,5
Elektro-Scooter,Mit diesem Elektro-Scooter kommen Sie schnell und umweltfreundlich an Ihr Ziel.,akurmemo,16
Gaming Stuhl,Der Gaming Stuhl bietet maximalen Komfort für lange Gaming-Sessions.,soezmen1,11
3D Drucker,"Dieser 3D Drucker ermöglicht Ihnen, komplexe Objekte in hoher Präzision zu drucken.",ebuzkir,12
Drohne,Diese Drohne mit HD-Kamera ermöglicht beeindruckende Luftaufnahmen und Videos.,lhesse4,20
Action-Kamera,Die Action-Kamera ist ideal für die Aufnahme von Abenteuern und sportlichen Aktivitäten.,anebling,20
E-Book Reader,Der E-Book Reader bietet eine riesige Bibliothek an Büchern in einem kompakten Gerät.,breich,13
Soundbar,Diese Soundbar verbessert Ihr Heimkino-Erlebnis mit kristallklarem Sound.,eeisele,16
Smart Thermostat,"Das Smart Thermostat hilft Ihnen, Ihre Heizkosten zu senken und die Temperatur zu steuern.",hkoop,2
Kabellose Ladestation,Die kabellose Ladestation lädt Ihre Geräte schnell und effizient auf.,skuske1,7
VR-Headset,Das VR-Headset bietet Ihnen ein immersives Erlebnis in virtuellen Welten.,tmarienh,5
Elektrische Zahnbürste,Die elektrische Zahnbürste sorgt für eine gründliche Reinigung und ein strahlendes Lächeln.,jmenn,16
Luftreiniger,Dieser Luftreiniger verbessert die Luftqualität in Ihrem Zuhause erheblich.,orichte1,16
Smart Lichtsystem,"Das Smart Lichtsystem ermöglicht es Ihnen, die Beleuchtung nach Ihren Wünschen anzupassen.",lruedena,11
Induktionskochfeld,Das Induktionskochfeld bietet präzises und schnelles Kochen mit minimalem Energieverbrauch.,ksebald,19
Elektrischer Grill,"Der elektrische Grill ermöglicht es Ihnen, leckere Speisen ohne Rauch und Flammen zu grillen.",yhashemi,17
Smarter Rauchmelder,Dieser smarte Rauchmelder erhöht die Sicherheit in Ihrem Zuhause.,skusdoga,2
Roboter-Staubsauger,Der Roboter-Staubsauger reinigt Ihr Zuhause automatisch und spart Ihnen Zeit und Mühe.,ssrioui,3
Elektrisches Skateboard,Dieses elektrische Skateboard bietet eine aufregende und schnelle Fahrt.,vtran2,2
Smartwatch Ladegerät,Das Smartwatch Ladegerät lädt Ihre Smartwatch schnell und zuverlässig auf.,dschne13,10
Smart Spiegel,"Dieser Smart Spiegel zeigt Ihnen nicht nur Ihr Spiegelbild, sondern auch Wetter und Nachrichten.",fschuh2,18
Bluetooth Lautsprecher,Der Bluetooth Lautsprecher bietet hervorragenden Klang und ist perfekt für unterwegs.,lueberbe,4
Elektrischer Roller,Dieser elektrische Roller ist ideal für kurze Strecken in der Stadt.,dzajcev,5
Einkaufsroboter,Der Einkaufsroboter begleitet Sie und trägt Ihre Einkäufe.,cacar2,9
Solar Ladegerät,"Das Solar Ladegerät nutzt Sonnenenergie, um Ihre Geräte aufzuladen.",kelali,18
Digitale Bilderrahmen,Der digitale Bilderrahmen zeigt Ihre Lieblingsfotos in hoher Auflösung.,mhasan5,1
Karaoke Maschine,Mit der Karaoke Maschine wird jede Party ein Hit.,nasemota,11
Intelligente Steckdose,Die intelligente Steckdose lässt sich per App oder Sprachbefehl steuern.,tdemuth,6
Elektronisches Türspion,"Das elektronische Türspion zeigt Ihnen, wer vor Ihrer Tür steht.",sdriouic,12
Intelligenter Kühlschrank,"Der intelligente Kühlschrank hilft Ihnen, Lebensmittel besser zu organisieren und zu planen.",jwendt3,11
Hochleistungsrouter,Der Hochleistungsrouter sorgt für eine stabile und schnelle Internetverbindung.,kammar,1
Gesichtssauna,Die Gesichtssauna reinigt Ihre Haut und öffnet die Poren.,thorocho,20
Massagepistole,Die Massagepistole hilft bei der Entspannung und Regeneration der Muskeln.,fmecklen,9
Fitness Armband,"Das Fitness Armband trackt Ihre Aktivitäten und hilft Ihnen, fit zu bleiben.",emuth,15
Smart Wasserkocher,Der Smart Wasserkocher lässt sich per App steuern und vorheizen.,mbidler,11
Smart Wecker,Der Smart Wecker weckt Sie sanft mit Licht und Geräuschen.,ljusseit,17
Smart Türsensor,Der Smart Türsensor benachrichtigt Sie bei unbefugtem Zutritt.,jschulza,13
Automatische Seifenspender,Der automatische Seifenspender sorgt für eine hygienische Handwäsche.,dsuess1,12
WLAN Glühbirne,Die WLAN Glühbirne lässt sich in Helligkeit und Farbe per App steuern.,nbetker,16
Smarte Bewässerungssystem,Das smarte Bewässerungssystem versorgt Ihre Pflanzen optimal mit Wasser.,acescott,3
Elektronische Katzenklappe,Die elektronische Katzenklappe öffnet sich nur für Ihre Katze.,jfoerst7,7
Smart Hundehalsband,Das Smart Hundehalsband trackt die Aktivitäten Ihres Hundes.,nmorczin,5
Intelligenter Mülleimer,"Der intelligente Mülleimer öffnet sich automatisch, wenn Sie sich nähern.",yhani,6
Energieüberwachungssteckdose,"Die Energieüberwachungssteckdose hilft Ihnen, Stromverbrauch zu überwachen und zu reduzieren.",mkaestn1,14
Smart Türsprechanlage,"Die Smart Türsprechanlage ermöglicht Ihnen, Besucher von überall zu sehen und mit ihnen zu sprechen.",tschulle,10
Bewegungsmelder Kamera,Die Bewegungsmelder Kamera überwacht Ihr Zuhause und benachrichtigt Sie bei Bewegung.,svomstei,9
Intelligenter Rauchmelder,Der intelligente Rauchmelder erhöht die Sicherheit in Ihrem Zuhause.,ddick2,15
Bluetooth Tracker,"Der Bluetooth Tracker hilft Ihnen, verlorene Gegenstände schnell wiederzufinden.",fgalgano,12
WiFi Extender,Der WiFi Extender erweitert die Reichweite Ihres WLANs.,fhenkenj,1
Elektrische Fußbodenheizung,Die elektrische Fußbodenheizung sorgt für warme Füße in kalten Monaten.,mlauria,20
Luftbefeuchter,Der Luftbefeuchter verbessert die Luftqualität in Ihrem Zuhause.,mgueler2,15
Intelligenter Thermostatventil,"Das intelligente Thermostatventil hilft Ihnen, Heizkosten zu sparen.",hihor,18
Smart Futterautomat,"Der Smart Futterautomat füttert Ihr Haustier auch, wenn Sie nicht zu Hause sind.",akurmemo,5
Smarte Klimaanlage,Die smarte Klimaanlage passt die Temperatur automatisch an Ihre Bedürfnisse an.,soezmen1,13
Intelligente Fenster,Die intelligenten Fenster bieten optimale Wärmedämmung und Sonnenschutz.,ebuzkir,6
Smart Garagentoröffner,Der Smart Garagentoröffner lässt sich per App steuern.,lhesse4,19
Solarbetriebene Überwachungskamera,Die solarbetriebene Überwachungskamera arbeitet umweltfreundlich und zuverlässig.,anebling,2
Intelligenter Türknauf,Der intelligente Türknauf bietet zusätzliche Sicherheit und Komfort.,breich,20
Elektrischer Vorhangöffner,Der elektrische Vorhangöffner lässt sich per Fernbedienung oder App steuern.,eeisele,14
Bluetooth Kopfhörer,Die Bluetooth Kopfhörer bieten hervorragenden Klang und kabellose Freiheit.,hkoop,2
Inception DVD,Ein geistreiches Thriller von Christopher Nolan.,skuske1,1
The Matrix DVD,Ein Sci-Fi-Klassiker mit Keanu Reeves.,tmarienh,3
Interstellar DVD,Ein visuell beeindruckendes Weltraum-Epos von Christopher Nolan.,jmenn,15
The Dark Knight DVD,Ein packender Superheldenfilm von Christopher Nolan.,orichte1,3
Pulp Fiction DVD,Ein Kult-Krimi von Quentin Tarantino.,lruedena,10
